step 26000: train loss 3.0945, val loss 3.1055
saving checkpoint to out
iter 28450: loss 3.0525, time 4221.66ms, mfu 32.79%
iter 28460: loss 3.0470, time 4054.10ms, mfu 32.83%
iter 28470: loss 2.9942, time 4054.83ms, mfu 32.87%
iter 28480: loss 2.8638, time 4304.47ms, mfu 32.71%
iter 28490: loss 3.2090, time 4054.61ms, mfu 32.76%
step 28500: train loss 3.0848, val loss 3.0814
saving checkpoint to out
iter 28500: loss 2.9275, time 18597.42ms, mfu 30.21%
iter 28510: loss 2.9454, time 4062.31ms, mfu 30.50%
iter 28520: loss 3.1334, time 4056.48ms, mfu 30.77%
iter 28530: loss 3.1638, time 4056.68ms, mfu 31.01%
iter 28540: loss 2.9793, time 4059.71ms, mfu 31.23%
iter 28550: loss 3.2229, time 4359.49ms, mfu 31.20%
iter 28560: loss 2.9863, time 4061.54ms, mfu 31.39%
iter 28570: loss 3.0529, time 4060.85ms, mfu 31.57%
iter 28580: loss 3.1395, time 4164.64ms, mfu 31.65%
iter 28590: loss 3.0836, time 4053.89ms, mfu 31.80%
iter 28600: loss 3.0606, time 4051.93ms, mfu 31.95%
iter 28610: loss 3.0796, time 4177.33ms, mfu 31.97%
iter 28620: loss 3.2644, time 4062.64ms, mfu 32.09%
iter 28630: loss 3.2314, time 4060.25ms, mfu 32.20%
iter 28640: loss 3.0741, time 4281.39ms, mfu 32.12%
iter 28650: loss 2.9741, time 4056.67ms, mfu 32.23%
iter 28660: loss 3.1837, time 4071.36ms, mfu 32.32%
iter 28670: loss 2.8817, time 4061.22ms, mfu 32.40%
iter 28680: loss 3.0530, time 4064.07ms, mfu 32.47%
iter 28690: loss 3.2040, time 4056.93ms, mfu 32.55%
iter 28700: loss 3.1144, time 4055.61ms, mfu 32.61%
iter 28710: loss 2.9791, time 4060.88ms, mfu 32.67%
iter 28720: loss 3.1947, time 4051.43ms, mfu 32.72%
iter 28730: loss 3.1050, time 4058.10ms, mfu 32.77%
iter 28740: loss 2.9815, time 4069.38ms, mfu 32.80%
iter 28750: loss 3.0106, time 4365.81ms, mfu 32.61%
iter 28760: loss 3.2951, time 4063.89ms, mfu 32.66%
iter 28770: loss 2.9587, time 4218.56ms, mfu 32.58%
iter 28780: loss 3.1212, time 4189.04ms, mfu 32.54%
iter 28790: loss 3.0350, time 4064.77ms, mfu 32.60%
iter 28800: loss 2.9789, time 4096.15ms, mfu 32.63%
iter 28810: loss 3.0835, time 4116.15ms, mfu 32.64%
iter 28820: loss 2.9720, time 4059.96ms, mfu 32.69%
iter 28830: loss 3.1107, time 4060.03ms, mfu 32.74%
iter 28840: loss 3.0903, time 4052.12ms, mfu 32.79%
iter 28850: loss 3.4014, time 4056.95ms, mfu 32.83%
iter 28860: loss 3.1840, time 4161.32ms, mfu 32.78%
iter 28870: loss 3.0670, time 4058.33ms, mfu 32.82%
iter 28880: loss 2.8215, time 4052.81ms, mfu 32.86%
iter 28890: loss 3.4041, time 4163.86ms, mfu 32.81%
iter 28900: loss 3.1080, time 4070.07ms, mfu 32.84%
iter 28910: loss 3.0993, time 4064.44ms, mfu 32.87%
iter 28920: loss 2.9311, time 4129.73ms, mfu 32.84%
iter 28930: loss 3.0498, time 4052.07ms, mfu 32.88%
iter 28940: loss 3.2251, time 4063.47ms, mfu 32.91%
iter 28950: loss 2.9280, time 4220.80ms, mfu 32.81%
iter 28960: loss 3.0157, time 4109.52ms, mfu 32.80%
iter 28970: loss 3.1897, time 4058.48ms, mfu 32.84%
iter 28980: loss 3.0298, time 4135.53ms, mfu 32.81%
iter 28990: loss 3.1416, time 4210.40ms, mfu 32.73%
step 29000: train loss 3.0819, val loss 3.1011
saving checkpoint to out
iter 29000: loss 2.9036, time 18523.76ms, mfu 30.18%
iter 29010: loss 2.8895, time 4049.13ms, mfu 30.49%
iter 29020: loss 3.0127, time 4310.25ms, mfu 30.57%
iter 29030: loss 2.8350, time 4125.82ms, mfu 30.77%
iter 29040: loss 3.1479, time 4059.74ms, mfu 31.01%
iter 29050: loss 3.0330, time 4186.77ms, mfu 31.13%
iter 29060: loss 2.9223, time 4212.54ms, mfu 31.21%
iter 29070: loss 3.1827, time 4055.83ms, mfu 31.41%
iter 29080: loss 3.0974, time 4199.34ms, mfu 31.48%
iter 29090: loss 3.0372, time 4088.58ms, mfu 31.62%
iter 29100: loss 3.0424, time 4050.58ms, mfu 31.78%
iter 29110: loss 3.0267, time 4057.14ms, mfu 31.92%
iter 29120: loss 3.0391, time 4054.44ms, mfu 32.05%
iter 29130: loss 3.0322, time 4241.67ms, mfu 32.02%
iter 29140: loss 3.1621, time 4061.48ms, mfu 32.14%
iter 29150: loss 3.0081, time 4068.62ms, mfu 32.23%
iter 29160: loss 2.9517, time 4068.47ms, mfu 32.32%
iter 29170: loss 3.1069, time 4062.50ms, mfu 32.40%
iter 29180: loss 2.9756, time 4056.21ms, mfu 32.48%
iter 29190: loss 3.0870, time 4151.89ms, mfu 32.48%
iter 29200: loss 2.9919, time 4055.78ms, mfu 32.55%
iter 29210: loss 3.1914, time 4057.11ms, mfu 32.61%
iter 29220: loss 3.0846, time 4274.42ms, mfu 32.50%
iter 29230: loss 3.1955, time 4047.61ms, mfu 32.58%
iter 29240: loss 3.0082, time 4046.88ms, mfu 32.65%
iter 29250: loss 3.0618, time 4100.37ms, mfu 32.67%
iter 29260: loss 2.9760, time 4061.21ms, mfu 32.72%
iter 29270: loss 3.0035, time 4056.54ms, mfu 32.76%
iter 29280: loss 3.0740, time 4220.82ms, mfu 32.68%
iter 29290: loss 2.9853, time 4065.86ms, mfu 32.72%
iter 29300: loss 3.1749, time 4055.40ms, mfu 32.77%
iter 29310: loss 2.9794, time 4109.08ms, mfu 32.77%
iter 29320: loss 3.1202, time 4059.31ms, mfu 32.81%
iter 29330: loss 3.0654, time 4290.93ms, mfu 32.67%
iter 29340: loss 3.0717, time 4055.12ms, mfu 32.72%
iter 29350: loss 3.2457, time 4047.83ms, mfu 32.78%
iter 29360: loss 3.0492, time 4127.84ms, mfu 32.76%
iter 29370: loss 3.0639, time 4047.71ms, mfu 32.81%
iter 29380: loss 3.0350, time 4061.36ms, mfu 32.85%
iter 29390: loss 3.0014, time 4183.52ms, mfu 32.78%
iter 29400: loss 3.0042, time 4057.19ms, mfu 32.82%
iter 29410: loss 2.9827, time 4059.63ms, mfu 32.86%
iter 29420: loss 3.0738, time 4195.47ms, mfu 32.78%
iter 29430: loss 3.2739, time 4063.80ms, mfu 32.82%
iter 29440: loss 3.0397, time 4050.50ms, mfu 32.86%
iter 29450: loss 2.9953, time 4065.90ms, mfu 32.88%
iter 29460: loss 3.1088, time 4061.43ms, mfu 32.91%
iter 29470: loss 3.1852, time 4051.70ms, mfu 32.94%
iter 29480: loss 3.1313, time 4056.79ms, mfu 32.97%
iter 29490: loss 3.2110, time 4061.57ms, mfu 32.99%
step 29500: train loss 3.0863, val loss 3.0814
saving checkpoint to out
iter 29500: loss 3.0809, time 18635.62ms, mfu 30.41%
iter 29510: loss 3.2277, time 4057.54ms, mfu 30.69%
iter 29520: loss 3.0323, time 4189.60ms, mfu 30.83%
iter 29530: loss 3.0801, time 4055.12ms, mfu 31.07%
iter 29540: loss 3.1929, time 4061.22ms, mfu 31.28%
iter 29550: loss 3.2246, time 4061.63ms, mfu 31.47%
iter 29560: loss 2.9791, time 4058.65ms, mfu 31.64%
iter 29570: loss 3.0122, time 4064.29ms, mfu 31.79%
iter 29580: loss 2.9551, time 4097.58ms, mfu 31.90%
iter 29590: loss 3.1113, time 4053.93ms, mfu 32.03%
iter 29600: loss 3.0261, time 4237.91ms, mfu 32.00%
iter 29610: loss 3.2831, time 4061.77ms, mfu 32.12%
iter 29620: loss 2.9419, time 4062.79ms, mfu 32.22%
iter 29630: loss 3.0322, time 4232.27ms, mfu 32.18%
iter 29640: loss 2.9133, time 4074.88ms, mfu 32.27%
iter 29650: loss 2.7997, time 4062.62ms, mfu 32.35%
iter 29660: loss 3.0479, time 4197.67ms, mfu 32.33%
iter 29670: loss 2.8699, time 4072.92ms, mfu 32.40%
iter 29680: loss 3.2740, time 4062.70ms, mfu 32.47%
iter 29690: loss 3.1628, time 4293.38ms, mfu 32.36%
iter 29700: loss 3.0850, time 4057.33ms, mfu 32.45%
iter 29710: loss 3.1554, time 4049.28ms, mfu 32.53%
iter 29720: loss 2.8947, time 4054.07ms, mfu 32.60%
iter 29730: loss 3.1098, time 4050.87ms, mfu 32.66%
iter 29740: loss 3.1707, time 4051.93ms, mfu 32.72%
iter 29750: loss 2.9837, time 4051.95ms, mfu 32.77%
iter 29760: loss 3.0648, time 4061.73ms, mfu 32.81%
iter 29770: loss 3.1562, time 4108.52ms, mfu 32.80%
iter 29780: loss 3.2679, time 4157.52ms, mfu 32.76%
iter 29790: loss 3.1197, time 4057.31ms, mfu 32.81%
iter 29800: loss 3.1229, time 4186.95ms, mfu 32.74%
iter 29810: loss 3.0660, time 4065.19ms, mfu 32.78%
iter 29820: loss 2.9491, time 4216.03ms, mfu 32.70%
iter 29830: loss 3.0909, time 4161.15ms, mfu 32.66%
